,ID,Date,Time,Open,High,Low,Close
206221,5,2021-04-08,15:00:00,0.06,0.06,0.06,0.06
206220,5,2021-04-08,16:00:00,0.06,0.06,0.06,0.06
206219,5,2021-04-08,17:00:00,0.06,0.06,0.06,0.06
206218,5,2021-04-08,18:00:00,0.06,0.06,0.06,0.06
206217,5,2021-04-08,19:00:00,0.06,0.06,0.06,0.06
206216,5,2021-04-08,20:00:00,0.06,0.06,0.06,0.06
206215,5,2021-04-08,21:00:00,0.06,0.06,0.06,0.06
206214,5,2021-04-08,22:00:00,0.06,0.06,0.06,0.06
206213,5,2021-04-08,23:00:00,0.06,0.06,0.06,0.06
206212,5,2021-04-09,00:00:00,0.06,0.06,0.06,0.06
206211,5,2021-04-09,01:00:00,0.06,0.06,0.06,0.06
206210,5,2021-04-09,02:00:00,0.06,0.06,0.06,0.06
206209,5,2021-04-09,03:00:00,0.06,0.06,0.06,0.06
206208,5,2021-04-09,04:00:00,0.06,0.06,0.06,0.06
206207,5,2021-04-09,05:00:00,0.06,0.06,0.06,0.06
206206,5,2021-04-09,06:00:00,0.06,0.06,0.06,0.06
206205,5,2021-04-09,07:00:00,0.06,0.06,0.06,0.06
206204,5,2021-04-09,08:00:00,0.06,0.06,0.06,0.06
206203,5,2021-04-09,09:00:00,0.06,0.06,0.06,0.06
206202,5,2021-04-09,10:00:00,0.06,0.06,0.06,0.06
206201,5,2021-04-09,11:00:00,0.06,0.06,0.06,0.06
206200,5,2021-04-09,12:00:00,0.06,0.06,0.06,0.06
206199,5,2021-04-09,13:00:00,0.06,0.06,0.06,0.06
206198,5,2021-04-09,14:00:00,0.06,0.06,0.06,0.06
206197,5,2021-04-09,15:00:00,0.06,0.06,0.06,0.06
206196,5,2021-04-09,16:00:00,0.06,0.06,0.06,0.06
206195,5,2021-04-09,17:00:00,0.06,0.06,0.06,0.06
206194,5,2021-04-09,18:00:00,0.06,0.06,0.06,0.06
206193,5,2021-04-09,19:00:00,0.06,0.06,0.06,0.06
206192,5,2021-04-09,20:00:00,0.06,0.06,0.06,0.06
206191,5,2021-04-09,21:00:00,0.06,0.06,0.06,0.06
206190,5,2021-04-09,22:00:00,0.06,0.06,0.06,0.06
206189,5,2021-04-09,23:00:00,0.06,0.06,0.06,0.06
206188,5,2021-04-10,00:00:00,0.06,0.06,0.06,0.06
206187,5,2021-04-10,01:00:00,0.06,0.06,0.06,0.06
206186,5,2021-04-10,02:00:00,0.06,0.06,0.06,0.06
206185,5,2021-04-10,03:00:00,0.06,0.06,0.06,0.06
206184,5,2021-04-10,04:00:00,0.06,0.06,0.06,0.06
206183,5,2021-04-10,05:00:00,0.06,0.06,0.06,0.06
206182,5,2021-04-10,06:00:00,0.06,0.06,0.06,0.06
206181,5,2021-04-10,07:00:00,0.06,0.06,0.06,0.06
206180,5,2021-04-10,08:00:00,0.06,0.07,0.06,0.06
206179,5,2021-04-10,09:00:00,0.06,0.06,0.06,0.06
206178,5,2021-04-10,10:00:00,0.06,0.06,0.06,0.06
206177,5,2021-04-10,11:00:00,0.06,0.06,0.06,0.06
206176,5,2021-04-10,12:00:00,0.06,0.06,0.06,0.06
206175,5,2021-04-10,13:00:00,0.06,0.06,0.06,0.06
206174,5,2021-04-10,14:00:00,0.06,0.06,0.06,0.06
206173,5,2021-04-10,15:00:00,0.06,0.06,0.06,0.06
206172,5,2021-04-10,16:00:00,0.06,0.06,0.06,0.06
206171,5,2021-04-10,17:00:00,0.06,0.06,0.06,0.06
206170,5,2021-04-10,18:00:00,0.06,0.06,0.06,0.06
206169,5,2021-04-10,19:00:00,0.06,0.06,0.06,0.06
206168,5,2021-04-10,20:00:00,0.06,0.06,0.06,0.06
206167,5,2021-04-10,21:00:00,0.06,0.06,0.06,0.06
206166,5,2021-04-10,22:00:00,0.06,0.06,0.06,0.06
206165,5,2021-04-10,23:00:00,0.06,0.06,0.06,0.06
206164,5,2021-04-11,00:00:00,0.06,0.06,0.06,0.06
206163,5,2021-04-11,01:00:00,0.06,0.07,0.06,0.07
206162,5,2021-04-11,02:00:00,0.07,0.07,0.07,0.07
206161,5,2021-04-11,03:00:00,0.07,0.07,0.07,0.07
206160,5,2021-04-11,04:00:00,0.07,0.07,0.07,0.07
206159,5,2021-04-11,05:00:00,0.07,0.07,0.06,0.06
206158,5,2021-04-11,06:00:00,0.06,0.06,0.06,0.06
206157,5,2021-04-11,07:00:00,0.07,0.07,0.06,0.07
206156,5,2021-04-11,08:00:00,0.07,0.07,0.07,0.07
206155,5,2021-04-11,09:00:00,0.07,0.07,0.07,0.07
206154,5,2021-04-11,10:00:00,0.07,0.07,0.07,0.07
206153,5,2021-04-11,11:00:00,0.07,0.08,0.07,0.07
206152,5,2021-04-11,12:00:00,0.08,0.08,0.08,0.08
206151,5,2021-04-11,13:00:00,0.07,0.08,0.07,0.07
206150,5,2021-04-11,14:00:00,0.07,0.07,0.07,0.07
206149,5,2021-04-11,15:00:00,0.07,0.07,0.07,0.07
206148,5,2021-04-11,16:00:00,0.07,0.07,0.07,0.07
206147,5,2021-04-11,17:00:00,0.07,0.07,0.07,0.07
206146,5,2021-04-11,18:00:00,0.07,0.08,0.07,0.07
206145,5,2021-04-11,19:00:00,0.07,0.08,0.07,0.07
206144,5,2021-04-11,20:00:00,0.07,0.08,0.07,0.07
206143,5,2021-04-11,21:00:00,0.07,0.08,0.07,0.08
206142,5,2021-04-11,22:00:00,0.08,0.08,0.08,0.08
206141,5,2021-04-11,23:00:00,0.08,0.08,0.08,0.08
206140,5,2021-04-12,00:00:00,0.07,0.08,0.07,0.08
206139,5,2021-04-12,01:00:00,0.07,0.08,0.07,0.08
206138,5,2021-04-12,02:00:00,0.07,0.07,0.07,0.07
206137,5,2021-04-12,03:00:00,0.07,0.07,0.07,0.07
206136,5,2021-04-12,04:00:00,0.07,0.07,0.07,0.07
206135,5,2021-04-12,05:00:00,0.07,0.07,0.07,0.07
206134,5,2021-04-12,06:00:00,0.07,0.07,0.07,0.07
206133,5,2021-04-12,07:00:00,0.07,0.07,0.07,0.07
206132,5,2021-04-12,08:00:00,0.07,0.07,0.07,0.07
206131,5,2021-04-12,09:00:00,0.07,0.07,0.07,0.07
206130,5,2021-04-12,10:00:00,0.07,0.07,0.07,0.07
206129,5,2021-04-12,11:00:00,0.07,0.07,0.07,0.07
206128,5,2021-04-12,12:00:00,0.07,0.07,0.07,0.07
206127,5,2021-04-12,13:00:00,0.07,0.07,0.07,0.07
206126,5,2021-04-12,14:00:00,0.07,0.07,0.07,0.07
206125,5,2021-04-12,15:00:00,0.07,0.07,0.07,0.07
206124,5,2021-04-12,16:00:00,0.07,0.07,0.07,0.07
206123,5,2021-04-12,17:00:00,0.07,0.07,0.07,0.07
206122,5,2021-04-12,18:00:00,0.07,0.07,0.07,0.07
206121,5,2021-04-12,19:00:00,0.07,0.07,0.07,0.07
206120,5,2021-04-12,20:00:00,0.07,0.07,0.07,0.07
206119,5,2021-04-12,21:00:00,0.07,0.07,0.07,0.07
206118,5,2021-04-12,22:00:00,0.07,0.07,0.07,0.07
206117,5,2021-04-12,23:00:00,0.07,0.07,0.07,0.07
206116,5,2021-04-13,00:00:00,0.07,0.07,0.07,0.07
206115,5,2021-04-13,01:00:00,0.07,0.07,0.07,0.07
206114,5,2021-04-13,02:00:00,0.07,0.08,0.07,0.08
206113,5,2021-04-13,03:00:00,0.07,0.08,0.07,0.07
206112,5,2021-04-13,04:00:00,0.07,0.07,0.07,0.07
206111,5,2021-04-13,05:00:00,0.07,0.07,0.07,0.07
206110,5,2021-04-13,06:00:00,0.07,0.08,0.07,0.07
206109,5,2021-04-13,07:00:00,0.07,0.07,0.07,0.07
206108,5,2021-04-13,08:00:00,0.07,0.07,0.07,0.07
206107,5,2021-04-13,09:00:00,0.07,0.07,0.07,0.07
206106,5,2021-04-13,10:00:00,0.07,0.07,0.07,0.07
206105,5,2021-04-13,11:00:00,0.07,0.08,0.07,0.08
206104,5,2021-04-13,12:00:00,0.08,0.08,0.08,0.08
206103,5,2021-04-13,13:00:00,0.08,0.08,0.08,0.08
206102,5,2021-04-13,14:00:00,0.08,0.08,0.08,0.08
206101,5,2021-04-13,15:00:00,0.08,0.08,0.08,0.08
206100,5,2021-04-13,16:00:00,0.08,0.08,0.08,0.08
206099,5,2021-04-13,17:00:00,0.08,0.09,0.08,0.09
206098,5,2021-04-13,18:00:00,0.09,0.09,0.09,0.09
206097,5,2021-04-13,19:00:00,0.09,0.09,0.09,0.09
206096,5,2021-04-13,20:00:00,0.09,0.09,0.09,0.09
206095,5,2021-04-13,21:00:00,0.09,0.09,0.09,0.09
206094,5,2021-04-13,22:00:00,0.09,0.09,0.09,0.09
206093,5,2021-04-13,23:00:00,0.09,0.09,0.09,0.09
206092,5,2021-04-14,00:00:00,0.09,0.09,0.09,0.09
206091,5,2021-04-14,01:00:00,0.09,0.1,0.09,0.1
206090,5,2021-04-14,02:00:00,0.11,0.12,0.11,0.11
206089,5,2021-04-14,03:00:00,0.11,0.11,0.11,0.11
206088,5,2021-04-14,04:00:00,0.11,0.12,0.11,0.11
206087,5,2021-04-14,05:00:00,0.11,0.11,0.11,0.11
206086,5,2021-04-14,06:00:00,0.11,0.12,0.11,0.12
206085,5,2021-04-14,07:00:00,0.12,0.14,0.12,0.13
206084,5,2021-04-14,08:00:00,0.13,0.14,0.13,0.13
206083,5,2021-04-14,09:00:00,0.13,0.15,0.13,0.14
206082,5,2021-04-14,10:00:00,0.13,0.14,0.12,0.13
206081,5,2021-04-14,11:00:00,0.13,0.13,0.13,0.13
206080,5,2021-04-14,12:00:00,0.13,0.14,0.13,0.14
206079,5,2021-04-14,13:00:00,0.14,0.14,0.14,0.14
206078,5,2021-04-14,14:00:00,0.13,0.14,0.13,0.13
206077,5,2021-04-14,15:00:00,0.13,0.13,0.12,0.13
206076,5,2021-04-14,16:00:00,0.13,0.13,0.12,0.13
206075,5,2021-04-14,17:00:00,0.13,0.13,0.13,0.13
