,ID,Date,Time,Open,High,Low,Close
405928,10,2021-04-08,15:00:00,0.48,0.49,0.48,0.49
405927,10,2021-04-08,16:00:00,0.48,0.49,0.48,0.49
405926,10,2021-04-08,17:00:00,0.49,0.5,0.49,0.49
405925,10,2021-04-08,18:00:00,0.49,0.5,0.49,0.49
405924,10,2021-04-08,19:00:00,0.5,0.5,0.49,0.49
405923,10,2021-04-08,20:00:00,0.49,0.49,0.49,0.49
405922,10,2021-04-08,21:00:00,0.49,0.5,0.49,0.5
405921,10,2021-04-08,22:00:00,0.49,0.49,0.49,0.49
405920,10,2021-04-08,23:00:00,0.5,0.5,0.49,0.5
405919,10,2021-04-09,00:00:00,0.5,0.51,0.5,0.5
405918,10,2021-04-09,01:00:00,0.51,0.51,0.5,0.5
405917,10,2021-04-09,02:00:00,0.5,0.5,0.49,0.5
405916,10,2021-04-09,03:00:00,0.49,0.5,0.49,0.5
405915,10,2021-04-09,04:00:00,0.49,0.5,0.49,0.49
405914,10,2021-04-09,05:00:00,0.49,0.49,0.49,0.49
405913,10,2021-04-09,06:00:00,0.49,0.49,0.49,0.49
405912,10,2021-04-09,07:00:00,0.49,0.49,0.49,0.49
405911,10,2021-04-09,08:00:00,0.48,0.49,0.48,0.49
405910,10,2021-04-09,09:00:00,0.49,0.49,0.48,0.49
405909,10,2021-04-09,10:00:00,0.49,0.49,0.49,0.49
405908,10,2021-04-09,11:00:00,0.49,0.49,0.49,0.49
405907,10,2021-04-09,12:00:00,0.49,0.49,0.49,0.49
405906,10,2021-04-09,13:00:00,0.49,0.49,0.48,0.49
405905,10,2021-04-09,14:00:00,0.49,0.49,0.48,0.49
405904,10,2021-04-09,15:00:00,0.48,0.48,0.48,0.48
405903,10,2021-04-09,16:00:00,0.48,0.48,0.48,0.48
405902,10,2021-04-09,17:00:00,0.48,0.48,0.48,0.48
405901,10,2021-04-09,18:00:00,0.48,0.48,0.48,0.48
405900,10,2021-04-09,19:00:00,0.48,0.49,0.48,0.49
405899,10,2021-04-09,20:00:00,0.48,0.49,0.48,0.49
405898,10,2021-04-09,21:00:00,0.49,0.49,0.48,0.48
405897,10,2021-04-09,22:00:00,0.49,0.49,0.49,0.49
405896,10,2021-04-09,23:00:00,0.49,0.49,0.49,0.49
405895,10,2021-04-10,00:00:00,0.49,0.49,0.48,0.49
405894,10,2021-04-10,01:00:00,0.49,0.49,0.48,0.48
405893,10,2021-04-10,02:00:00,0.48,0.5,0.48,0.49
405892,10,2021-04-10,03:00:00,0.49,0.49,0.49,0.49
405891,10,2021-04-10,04:00:00,0.49,0.5,0.49,0.5
405890,10,2021-04-10,05:00:00,0.5,0.5,0.49,0.49
405889,10,2021-04-10,06:00:00,0.49,0.5,0.49,0.5
405888,10,2021-04-10,07:00:00,0.5,0.5,0.5,0.5
405887,10,2021-04-10,08:00:00,0.5,0.52,0.5,0.52
405886,10,2021-04-10,09:00:00,0.52,0.52,0.51,0.52
405885,10,2021-04-10,10:00:00,0.52,0.53,0.52,0.52
405884,10,2021-04-10,11:00:00,0.52,0.52,0.51,0.51
405883,10,2021-04-10,12:00:00,0.51,0.52,0.51,0.51
