,ID,Date,Time,Open,High,Low,Close
519656,13,2021-04-08,15:00:00,1.0,1.0,1.0,1.0
519655,13,2021-04-08,16:00:00,1.0,1.0,1.0,1.0
519654,13,2021-04-08,17:00:00,1.0,1.0,1.0,1.0
519653,13,2021-04-08,18:00:00,1.0,1.0,1.0,1.0
519652,13,2021-04-08,19:00:00,1.0,1.0,1.0,1.0
519651,13,2021-04-08,20:00:00,1.0,1.0,1.0,1.0
519650,13,2021-04-08,21:00:00,1.0,1.0,1.0,1.0
519649,13,2021-04-08,22:00:00,1.0,1.0,1.0,1.0
519648,13,2021-04-08,23:00:00,1.0,1.0,1.0,1.0
519647,13,2021-04-09,00:00:00,1.0,1.0,1.0,1.0
519646,13,2021-04-09,01:00:00,1.0,1.0,1.0,1.0
519645,13,2021-04-09,02:00:00,1.0,1.0,1.0,1.0
519644,13,2021-04-09,03:00:00,1.0,1.0,1.0,1.0
519643,13,2021-04-09,04:00:00,1.0,1.0,1.0,1.0
519642,13,2021-04-09,05:00:00,1.0,1.0,1.0,1.0
519641,13,2021-04-09,06:00:00,1.0,1.0,1.0,1.0
519640,13,2021-04-09,07:00:00,1.0,1.0,1.0,1.0
519639,13,2021-04-09,08:00:00,1.0,1.0,1.0,1.0
519638,13,2021-04-09,09:00:00,1.0,1.0,1.0,1.0
519637,13,2021-04-09,10:00:00,1.0,1.0,1.0,1.0
519636,13,2021-04-09,11:00:00,1.0,1.0,1.0,1.0
519635,13,2021-04-09,12:00:00,1.0,1.0,1.0,1.0
519634,13,2021-04-09,13:00:00,1.0,1.0,1.0,1.0
519633,13,2021-04-09,14:00:00,1.0,1.0,1.0,1.0
519632,13,2021-04-09,15:00:00,1.0,1.0,1.0,1.0
519631,13,2021-04-09,16:00:00,1.0,1.0,1.0,1.0
519630,13,2021-04-09,17:00:00,1.0,1.0,1.0,1.0
519629,13,2021-04-09,18:00:00,1.0,1.0,1.0,1.0
519628,13,2021-04-09,19:00:00,1.0,1.0,1.0,1.0
519627,13,2021-04-09,20:00:00,1.0,1.0,1.0,1.0
519626,13,2021-04-09,21:00:00,1.0,1.0,1.0,1.0
519625,13,2021-04-09,22:00:00,1.0,1.0,1.0,1.0
519624,13,2021-04-09,23:00:00,1.0,1.0,1.0,1.0
519623,13,2021-04-10,00:00:00,1.0,1.0,1.0,1.0
519622,13,2021-04-10,01:00:00,1.0,1.0,1.0,1.0
519621,13,2021-04-10,02:00:00,1.0,1.0,1.0,1.0
519620,13,2021-04-10,03:00:00,1.0,1.0,1.0,1.0
519619,13,2021-04-10,04:00:00,1.0,1.0,1.0,1.0
519618,13,2021-04-10,05:00:00,1.0,1.0,1.0,1.0
519617,13,2021-04-10,06:00:00,1.0,1.0,1.0,1.0
519616,13,2021-04-10,07:00:00,1.0,1.0,1.0,1.0
519615,13,2021-04-10,08:00:00,1.0,1.0,1.0,1.0
519614,13,2021-04-10,09:00:00,1.0,1.0,1.0,1.0
519613,13,2021-04-10,10:00:00,1.0,1.0,1.0,1.0
519612,13,2021-04-10,11:00:00,1.0,1.0,1.0,1.0
519611,13,2021-04-10,12:00:00,1.0,1.0,1.0,1.0
519610,13,2021-04-10,13:00:00,1.0,1.0,1.0,1.0
519609,13,2021-04-10,14:00:00,1.0,1.0,1.0,1.0
519608,13,2021-04-10,15:00:00,1.0,1.0,1.0,1.0
519607,13,2021-04-10,16:00:00,1.0,1.0,1.0,1.0
519606,13,2021-04-10,17:00:00,1.0,1.0,1.0,1.0
519605,13,2021-04-10,18:00:00,1.0,1.0,1.0,1.0
